Property Type,District,Mukim,Scheme Name/Area,Road Name,"Month, Year of Transaction Date",Tenure,Land/Parcel Area,Unit,Main Floor Area,Unit        ,Unit Level,Transaction Price  ,Unnamed: 13,address,latitude,longitude
1 - 1 1/2 Storey Shop,Hulu Langat,Beranang,KESUMA SQUARE,PHASE 5F,February 2024,Freehold,111.00,sq.m,99,sq.m,    ,"RM596,000.00",,PHASE 5F KESUMA SQUARE Beranang Hulu Langat Malaysia,2.9128,101.8712
1 - 1 1/2 Storey Shop,Hulu Langat,Beranang,KESUMA SQUARE,PHASE 5F,March 2024,Freehold,111.00,sq.m,99,sq.m,    ,"RM596,000.00",,PHASE 5F KESUMA SQUARE Beranang Hulu Langat Malaysia,2.9128,101.8712
1 - 1 1/2 Storey Shop,Hulu Langat,Beranang,KESUMA SQUARE,PHASE 5F,April 2024,Freehold,111.00,sq.m,99,sq.m,    ,"RM596,000.00",,PHASE 5F KESUMA SQUARE Beranang Hulu Langat Malaysia,2.9128,101.8712
1 - 1 1/2 Storey Shop,Hulu Langat,Beranang,KESUMA SQUARE,PHASE 5F,July 2024,Freehold,111.00,sq.m,99,sq.m,    ,"RM596,000.00",,PHASE 5F KESUMA SQUARE Beranang Hulu Langat Malaysia,2.9128,101.8712
1 - 1 1/2 Storey Shop,Hulu Langat,Beranang,KESUMA SQUARE,PHASE 5F,July 2024,Freehold,173.00,sq.m,153,sq.m,    ,"RM820,000.00",,PHASE 5F KESUMA SQUARE Beranang Hulu Langat Malaysia,2.9128,101.8712
1 - 1 1/2 Storey Shop,Hulu Langat,Beranang,KESUMA SQUARE,PHASE 5F,July 2024,Freehold,173.00,sq.m,153,sq.m,    ,"RM842,000.00",,PHASE 5F KESUMA SQUARE Beranang Hulu Langat Malaysia,2.9128,101.8712
1 - 1 1/2 Storey Shop,Hulu Langat,Beranang,KESUMA SQUARE,PHASE 5F,August 2024,Freehold,111.00,sq.m,99,sq.m,    ,"RM596,000.00",,PHASE 5F KESUMA SQUARE Beranang Hulu Langat Malaysia,2.9128,101.8712
1 - 1 1/2 Storey Shop,Hulu Langat,Beranang,KESUMA SQUARE,PHASE 5F,May 2025,Freehold,111.00,sq.m,99,sq.m,    ,"RM596,000.00",,PHASE 5F KESUMA SQUARE Beranang Hulu Langat Malaysia,2.9128,101.8712
1 - 1 1/2 Storey Shop,Hulu Langat,Beranang,TMN BKT MAHKOTA, JALAN BM 4/1,March 2024,Freehold,121.00,sq.m,100,sq.m,    ,"RM400,000.00",,JALAN BM 4/1 TMN BKT MAHKOTA Beranang Hulu Langat Malaysia,2.8819,101.8584
1 - 1 1/2 Storey Shop,Hulu Langat,Beranang,TMN BKT MAHKOTA, JALAN BM 4/3,February 2024,Freehold,121.00,sq.m,100,sq.m,    ,"RM324,000.00",,JALAN BM 4/3 TMN BKT MAHKOTA Beranang Hulu Langat Malaysia,2.905,101.861
